GR_S03	GR_S04	GR_S05	GR_S06	GR_S07	GR_S08	GR_S09	GR_S10	MA_S01	MA_S02	MA_S03	MA_S05	MA_S06	MA_S07	MA_S08	MA_S09	MA_S10	MA_S11	MA_S12	MA_S14	SH_S01	SH_S02	SH_S03	SH_S04	SH_S05	SH_S06	SH_S07	SH_S08	SH_S09	SH_S10
0	0	0.25	0	1.333333333	0.5	0	0	0.125	0	0	0	0.166666667	3.111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4487.944444	4978.888889
6532.333333	927.7777778	708.5	1208.777778	6832.166667	759.25	3689.333333	528.3333333	5396.416667	755.5	81	0	0	0	0	0	0	0	0	0	106.9166667	46.83333333	4.5	0	0	0	0.333333333	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1799.833333	0	0	0	0	0	0
5.333333333	7.555555556	3.75	0	0	0	116	2.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.666666667	25.44444444	22.25	1.277777778	7296.333333	1.75	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111111	0	0	0
0	0	0	0	0	0	0	0	0	0	0	2842	8.166666667	2	0	0	0	0	0	0	8.5	5	0.25	468.5	1.166666667	54.5	551.7777778	2956.666667	15.88888889	11647.38889
0	0	0	0	0	0	0	0	0	0	0	8	1.666666667	578.1111111	0	0	0	0	0	0	2.5	3.722222222	3043.833333	0	0.166666667	0	1	0.25	2371.388889	891.5
17123.33333	9116.444444	397.25	43.16666667	45.16666667	23.5	27	16	7145.291667	10923.5	395	0	0	0	0	0	0	0	0	0	1604	357.3888889	18.16666667	0	0	0	0	0	0.111111111	0
0.666666667	18.72222222	0.25	0	0	0	0	0	0	0	0	0	4	0.333333333	0	0	0	0	0	0	0	0.111111111	0	0	0	0	0	0.166666667	0	0
0	0	0.25	0	0.166666667	0	9.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.555555556	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0.111111111	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.555555556	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	4.666666667	0.25	561.8333333	0	0	0	0	0	0	0.111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
