Sample	Sampling site	Chlorophyll RFU	Chlorophyll ug/L	Sal ppt	Conductivity ¬µS/cm	nLF Conductivity ¬µS/cm	Specific Conductivity ¬µS/cm	TDS Total Dissolved Solids mg/L	Depth max	fDOM fluorescent Dissolved Organic Matter QSU	fDOM fluorescent Dissolved Organic Matter RFU	ODO Optical Dissolved Oxygen % sat	ODO Optical Dissolved Oxygen % local	ODO Optical Dissolved Oxygen mg/L	BGA PE Phycoerythrin (algae) RFU	BGA PE Phycoerythrin (algae) ug/L	Turbidity FNU	pH	Temp °C	GPS Latitude °	GPS Longitude °	Barometer mmHg	Total Kjeldahl nitrogen as N	Total Kjeldahl phosphorus as P	Total nitrogen as N	Total organic carbon	Dissolved organic carbon	Ammonium nitrogen as N	Oxidised nitrogen as N	Phosphate phosphorus as P	Chlorophyll FieldMeasure mg/m3	Percent Solid	Total C sediment	Org.C sediment	CO3 as CaCO3 sediment	Percent mud	Percent sand	Percent gravel
GR-S01	GR-L06	1.21	4.85	9.32	16230.4	15523	15591	10134	NA	94.48	31.49	64	64.5	4.86	4.41	12.4	185.75	7.45	27.086	-20.16979	148.4637	756.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.6	3.8	12.9948473	46.93980143	40.06535126
GR-S02	GR-L01	1.36	5.48	0.2	452.6	426	428	279	NA	129.69	43.23	79.4	80.1	6.22	3.6	10.13	42.36	6.9	27.948	-20.17664	148.48	756.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7	0.7	0.2	7.817014446	65.52969502	26.65329053
GR-S03	GR-L02	1.36	5.47	0.25	546.9	515	518	337	NA	126.18	42.06	78.8	79.4	6.17	3.58	10.08	42.91	6.97	27.903	-20.18004	148.4819	756.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2	0.1	0.3	0.457065059	10.53194593	89.01098901
GR-S04	GR-L03	1.35	5.42	0.29	632.2	596	599	389	NA	119.56	39.86	78.3	78.9	6.13	3.72	10.46	49.38	7.05	27.893	-20.17327	148.4838	756.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2	0.1	1.2	1.860367893	54.22240803	43.91722408
GR-S05	GR-L04	1.06	4.26	0.39	832.9	788	793	515	NA	83.26	27.76	81.8	82.4	6.43	3.53	9.93	79.02	6.98	27.652	-20.17142	148.4752	756.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4	0.4	0.4	9.50094573	31.44914884	59.04990543
GR-S06	GR-L05	1.26	5.07	3.69	6792.5	6521	6547	4255	NA	106.63	35.54	72	72.5	5.59	3.88	10.9	91.57	6.92	27.283	-20.16413	148.468	756.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.4	2.3	0.4	50.28962002	25.13901761	24.57136237
GR-S07	GR-L07	1.03	4.13	14.12	24102.6	22801	22928	14903	NA	86.66	28.89	67.2	67.7	4.9	3.87	10.88	144.54	7.59	27.8	-20.17825	148.4549	756.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6	0.6	0.5	9.756609316	71.79605539	18.44733529
GR-S08	GR-L08	0.79	3.2	18.19	30809.5	29111	29276	19029	NA	72.66	24.22	64	64.5	4.55	2.57	7.25	12.04	7.86	27.7	-20.17641	148.4494	757.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.1	1.7	3.7	30.25949274	69.27869814	0.461809119
GR-S09	GR-L09	1.04	4.19	9.75	17075.1	16174	16262	10570	NA	108.35	36.12	72.7	73.2	5.43	3.21	9.03	24.57	7.63	27.533	-20.16781	148.4422	756.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3	0.1	1	1.558689428	39.83670873	58.60460184
GR-S10	GR-L10	0.67	2.71	28.39	47517.6	43762	44133	28686	NA	33.21	11.07	92.1	92.8	6.04	2.71	7.64	5.72	8.02	29.007	-20.15856	148.4332	756.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	0.1	4.5	1.393092744	56.38727202	42.21963523
MA-S01	SC-L01	1.33	5.33	0.15	346.1	319	321	209	NA	129.34	43.12	70.7	71.2	5.43	3.6	10.13	35.89	7.32	29.034	-21.26518	149.156	758.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1	0.1	0.2	0.153061224	16.90233236	82.94460641
MA-S02	SC-L02	1.32	5.3	0.32	710.7	649	655	426	NA	129.18	43.06	71.3	71.9	5.43	3.55	9.98	36.46	7.25	29.436	-21.26704	149.1643	758.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1	0.1	0.2	0.693481276	34.01525659	65.29126214
MA-S03	SC-L05	1.4	5.63	1.29	2781.1	2489	2518	1637	NA	129.7	43.24	77.2	77.8	5.75	3.82	10.74	41.37	7.24	30.467	-21.27542	149.1753	758.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4	0.4	0.2	14.00394477	59.12228797	26.87376726
MA-S04	SC-L07	1.41	5.66	0.99	2115.3	1941	1958	1273	NA	125.33	41.78	72.6	73.1	5.53	3.92	11.02	45.38	7.24	29.204	-21.27617	149.1803	759.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1	0.1	0.2	0.057175529	50.47782406	49.46500041
