Sampling site	Sampling site name	2,4,5-T	Triclopyr	Trifloxysulfuron	Trinexapac (acid)	2,4-D	2,4-DB	2,4-DP (Dichlorprop)	3,4-Dichloroaniline	Acetamiprid	Acifluorfen	Ametryn	Amicarbazone	Asulam	Atrazine	Atrazine2-hydroxy	Bromacil	Bromoxynil	Chlorpyrifos	Chlorpyrifos oxon	Clomazone	Clothianidin	Cyanazine	Dalapon (2,2-DPA)	DCPMU	DCPU	Desethyl Atrazine 	Desisopropyl Atrazine	Diazinon	Dicamba	Dinotefuran	Diuron	Ethametsulfuron methyl	Ethoxysulfuron	Fipronil	Fipronil Desulfinyl	Fipronil sulfide	Fipronil sulfone	Flamprop-methyl	Fluazifop (acid)	Fluometuron	Fluroxypyr	Flusilazole 	Flutriafol	Halosulfuron methyl	Haloxyfop (acid)	Hexazinone	Imazapic	Imazapyr	Imazethapyr	Imidacloprid	Imidacloprid metabolites	Ioxynil	Isoxaflutole metabolite (DKN)	MCPA	MCPB	Mecoprop	Mesosulfuron methyl	Methoxyfenozide	Metolachlor	Metolachlor-OXA	Metribuzin	Metsulfuron methyl	Molinate	N-Desmethyl Acetamiprid	Napropamide	Pendimethalin	Picloram 	Prometryn	Propachlor	Propazin-2-hydroxy	Propoxur	Sethoxydim	Simazine	Sulfosulfuron	Tebuthiuron	Terbuthylazine	Terbuthylazine desethyl	Terbutryn	Thiacloprid	Thiamethoxam
GR_S01	GR-L06	0.01	0.1	0.05	0.05	0.28	0.1	0.05	0.02	0.01	0.1	0.01	0.05	0.02	0.61	0.17	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.3	0.04	0.08	0.04	0.01	0.2	0.05	0.83	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.12	0.05	0.04	0.01	0.02	0.73	0.23	0.02	0.02	0.5	0.02	0.01	0.03	0.1	0.05	0.02	0.02	0.01	0.15	0.23	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.09	0.01	0.02	0.02	0.02	0.05
GR_S02	GR-L01	0.01	0.1	0.05	0.05	0.27	0.1	0.05	0.02	0.01	0.1	0.01	0.05	0.02	0.37	0.16	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.23	0.04	0.05	0.02	0.01	0.2	0.05	0.58	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.12	0.05	0.04	0.01	0.02	0.54	0.19	0.02	0.02	0.47	0.02	0.01	0.03	0.05	0.05	0.02	0.02	0.01	0.12	0.28	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.19	0.01	0.02	0.02	0.02	0.05
GR_S03	GR-L02	0.01	0.1	0.05	0.05	0.26	0.1	0.05	0.02	0.01	0.1	0.01	0.05	0.02	0.38	0.14	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.22	0.04	0.05	0.03	0.01	0.2	0.05	0.59	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.1	0.05	0.04	0.01	0.02	0.54	0.19	0.02	0.02	0.44	0.02	0.01	0.02	0.05	0.05	0.02	0.02	0.01	0.12	0.25	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.19	0.01	0.02	0.02	0.02	0.05
GR_S04	GR-L03	0.01	0.1	0.05	0.05	0.25	0.1	0.05	0.02	0.01	0.1	0.01	0.05	0.02	0.43	0.16	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.23	0.04	0.06	0.03	0.01	0.2	0.05	0.57	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.12	0.05	0.03	0.01	0.02	0.55	0.18	0.02	0.02	0.44	0.02	0.01	0.03	0.06	0.05	0.02	0.02	0.01	0.12	0.21	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.16	0.01	0.02	0.02	0.02	0.05
GR_S05	GR-L04	0.01	0.1	0.05	0.05	0.23	0.1	0.05	0.02	0.01	0.1	0.01	0.05	0.02	0.53	0.16	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.28	0.04	0.07	0.04	0.01	0.2	0.05	0.71	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.12	0.05	0.03	0.01	0.02	0.66	0.21	0.02	0.02	0.49	0.02	0.01	0.04	0.09	0.05	0.02	0.02	0.01	0.14	0.2	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.08	0.01	0.02	0.02	0.02	0.05
GR_S06	GR-L05	0.01	0.1	0.05	0.05	0.25	0.1	0.05	0.02	0.01	0.1	0.01	0.05	0.02	0.58	0.16	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.29	0.04	0.08	0.04	0.01	0.2	0.05	0.79	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.11	0.05	0.03	0.01	0.02	0.71	0.22	0.02	0.02	0.47	0.02	0.01	0.03	0.1	0.05	0.02	0.02	0.01	0.14	0.22	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.08	0.01	0.02	0.02	0.02	0.05
GR_S07	GR-L07	0.01	0.1	0.05	0.05	0.32	0.1	0.05	0.02	0.01	0.1	0.01	0.05	0.02	0.47	0.16	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.26	0.04	0.07	0.04	0.01	0.2	0.05	0.79	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.13	0.05	0.03	0.01	0.02	0.66	0.21	0.02	0.02	0.46	0.02	0.01	0.02	0.09	0.05	0.02	0.02	0.01	0.17	0.21	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.08	0.01	0.02	0.02	0.02	0.05
GR_S08	GR-L08	0.01	0.1	0.05	0.05	0.37	0.1	0.05	0.02	0.01	0.1	0.01	0.05	0.02	0.46	0.14	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.24	0.04	0.07	0.04	0.01	0.2	0.05	0.78	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.12	0.05	0.03	0.01	0.02	0.6	0.2	0.02	0.02	0.44	0.02	0.01	0.03	0.09	0.05	0.02	0.02	0.01	0.19	0.21	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.07	0.01	0.02	0.02	0.02	0.05
GR_S09	GR-L09	0.01	0.1	0.05	0.05	0.26	0.1	0.05	0.02	0.01	0.1	0.01	0.05	0.02	0.42	0.12	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.25	0.03	0.07	0.04	0.01	0.2	0.05	0.65	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.1	0.05	0.03	0.01	0.02	0.54	0.17	0.02	0.02	0.32	0.02	0.01	0.02	0.07	0.05	0.02	0.02	0.01	0.13	0.18	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.07	0.01	0.02	0.02	0.02	0.05
GR_S10	GR-L10	0.01	0.1	0.05	0.05	0.08	0.1	0.05	0.02	0.01	0.1	0.01	0.05	0.02	0.06	0.02	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.03	0.02	0.01	0.02	0.01	0.2	0.05	0.1	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.05	0.05	0.02	0.01	0.02	0.08	0.03	0.02	0.02	0.04	0.02	0.01	0.02	0.02	0.05	0.02	0.02	0.01	0.03	0.05	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.01	0.01	0.02	0.02	0.02	0.05
MA_S01	SC-L01	0.01	0.1	0.05	0.05	0.23	0.1	0.05	0.02	0.01	0.1	0.03	0.2	0.04	3	0.44	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.82	0.1	0.26	0.11	0.01	0.2	0.05	3.4	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.6	0.05	0.06	0.01	0.02	1.2	0.65	0.02	0.08	0.54	0.02	0.01	0.25	0.13	0.05	0.02	0.02	0.01	0.92	0.8	0.04	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.01	0.01	0.02	0.02	0.02	0.05
MA_S02	SC-L02	0.01	0.1	0.05	0.05	0.23	0.1	0.05	0.02	0.01	0.1	0.03	0.17	0.03	2.8	0.41	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.82	0.1	0.23	0.1	0.01	0.2	0.05	3.1	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.61	0.05	0.05	0.01	0.02	1.2	0.6	0.02	0.08	0.5	0.02	0.01	0.26	0.14	0.05	0.02	0.02	0.01	0.86	0.87	0.04	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.01	0.01	0.02	0.02	0.02	0.05
